seq,from_city,to_city,from_wkt,to_wkt,Alteryx_Distance_KM,Formula_Distance_KM,Difference_Alteryx_KM_2,h3_approx_distance,Difference_Alteryx_KM
74,Jaipur,Mumbai,POINT(75.7873 26.9124),POINT(72.8777 19.076),920.23,920.74,-0.51,484.1,436.13
75,Jaipur,Bangalore,POINT(75.7873 26.9124),POINT(77.5946 12.9716),1560.67,1561.54,-0.87,859.45,701.22
76,Jaipur,Hyderabad,POINT(75.7873 26.9124),POINT(78.4867 17.385),1094.54,1095.15,-0.61,598.91,495.64
77,Jaipur,Chennai,POINT(75.7873 26.9124),POINT(80.2707 13.0827),1606.21,1607.1,-0.89,851.66,754.55
78,Jaipur,Kolkata,POINT(75.7873 26.9124),POINT(88.3639 22.5726),1357.02,1357.77,-0.75,740.95,616.07
79,Jaipur,Ahmedabad,POINT(75.7873 26.9124),POINT(72.5714 23.0225),540.17,540.47,-0.3,287.27,252.9
80,Jaipur,Pune,POINT(75.7873 26.9124),POINT(73.8567 18.5204),953.34,953.87,-0.53,521.51,431.84
81,Jaipur,Lucknow,POINT(75.7873 26.9124),POINT(80.9462 26.8467),511.4,511.68,-0.28,250.16,261.24
82,Lucknow,Delhi,POINT(80.9462 26.8467),POINT(77.1025 28.7041),430.6,430.84,-0.24,235.58,195.02
83,Lucknow,Mumbai,POINT(80.9462 26.8467),POINT(72.8777 19.076),1194.01,1194.67,-0.66,637.9,556.11
84,Lucknow,Bangalore,POINT(80.9462 26.8467),POINT(77.5946 12.9716),1580.99,1581.87,-0.88,832.69,748.3
85,Lucknow,Hyderabad,POINT(80.9462 26.8467),POINT(78.4867 17.385),1081.47,1082.07,-0.6,572.15,509.32
86,Lucknow,Chennai,POINT(80.9462 26.8467),POINT(80.2707 13.0827),1531.25,1532.1,-0.85,824.9,706.35
87,Lucknow,Kolkata,POINT(80.9462 26.8467),POINT(88.3639 22.5726),886.49,886.98,-0.49,490.79,395.7
88,Lucknow,Ahmedabad,POINT(80.9462 26.8467),POINT(72.5714 23.0225),944.58,945.11,-0.53,510.68,433.9
89,Lucknow,Pune,POINT(80.9462 26.8467),POINT(73.8567 18.5204),1176.07,1176.73,-0.66,603.5,572.57
90,Lucknow,Jaipur,POINT(80.9462 26.8467),POINT(75.7873 26.9124),511.4,511.68,-0.28,250.16,261.24
